"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-100054.0003","SANTA CRUZ AMA","2013","145.86 AF","1556.54 AF","1067.15%","77.23 AF","SANTA CRUZ AMA","","N","","5342927"
"58-105490.0012","EAST SALT RIVER VALLEY","2015","9.24 AF","186.9 AF","2022.73%","9.24 AF","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","N","","5232272"
"58-103650.0014","HASSAYAMPA","2016","0 AF","670.56 AF","0%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","Y","","5666367"
"58-113169.0016","ELOY","2012","1118.85 AF","-559.42 AF","-50%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5898678"
"58-150006.0002","MARICOPA-STANFIELD","2021","144.9 AF","1431.69 AF","988.05%","9.27 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5516060"
"58-109179.0006","AVRA VALLEY","2017","951.49 AF","7148.25 AF","751.27%",".09 AF","TUCSON AMA","","N","","5944079"
"58-109257.0004","WEST SALT RIVER VALLEY","2020","1226.83 AF","1382.42 AF","112.68%","392.22 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6833642"
"58-102665.0021","MARICOPA-STANFIELD","2025","1031.8 AF","0 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","7780693"
"58-102333.0015","MARICOPA-STANFIELD","2011","60.79 AF","736.39 AF","1211.37%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5299215"
"58-101217.0003","ELOY","2017","1124.09 AF","8390.27 AF","746.41%","NONE","PINAL AMA","","N","","5666268"
"58-103380.0001","ELOY","2020","1140.39 AF","8923.87 AF","782.53%","2.47 AF","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5145886"
"58-107018.0003","UPPER SANTA CRUZ","2018","5234.33 AF","84682.16 AF","1617.82%","1467.33 AF","TUCSON AMA","","N","","6091230"
"58-116092.0001","WEST SALT RIVER VALLEY","2022","67.74 AF","698.6 AF","1031.3%","3.14 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","6920013"
"58-106133.0002","WEST SALT RIVER VALLEY","2025","62.05 AF","794.47 AF","1280.37%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","7729799"
"58-110632.0001","WEST SALT RIVER VALLEY","2014","1034.25 AF","5181.18 AF","500.96%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5158326"
